Intent	Sentence
MAKE_PIZZA	Okay, I would like a <pizza_type>Hawaiian</pizza_type> pizza then instead.  On a <size>medium</size> <crust>gluten free</crust> crust.  You’ve still got <topping>pineapple</topping> don’t you?  It’s a fruit not a vegetable.
REQUEST	And you got that I wanted that on a gluten free crust right?
REQUEST	Can you repeat the order back to me?<
ADD_MODALITY	Yes that’s right, and for <modality>delivery</modality>.  Do you have my address?
REQUEST	Can you take it down now?
ADD_PERSONAL	My address is <address>12345 St</address>.  Did you get that?
REQUEST	When will your driver be arriving?
THANK	In <time>20 minutes</time>?  Okay thank you very much.
GREET	Hi there!
ORDER_PREFERRED	Hello this is <name>John</name> I want to get my usual pickup order for Saturdays.
ADD_TO_ORDER	Yes, you remembered great.  Can you have that ready in <time>30 minutes</time>?  And throw in an <beverage>orange pop</beverage> today too?
UNDEFINED	You guys are the best
UNDEFINED	Another day, another disaster
UNDEFINED	Just don’t let your old lady find out how much you bet Jerry on the last one
DEPART	Alright peace out brother
MAKE_PIZZA	"Yes I’d like to place a to-go order for a <size>small</size> <crust>deep dish</crust> pizza with <topping>cheddar</topping>, <topping>swiss</topping>, <topping>provolone</topping>, <topping>green peppers</topping>, <topping>red onion</topping>, <topping>mushrooms</topping>, <topping>onions</topping>, and <topping>olives</topping>."
REQUEST	"And that has <quant>all</quant> the toppings I want, the <pizza_type>veggie supreme</pizza_type>?"
INFORM	"Great, I won’t need any sides."
ADD_PERSONAL	The name of the order is <name>Jane</name>.
DENY	No just the pizza
THANK	Great see you then.
GREET	"Hi! Sorry, erm, just a moment here"
UNDEFINED	Let’s see
REQUEST	"Hi! Yes, sorry about that. I’m looking for a heavy <topping_type>meat</topping_type> option, do you have anything that might work for me?"
REQUEST	"Oh, wow. That sounds awesome. Just making sure, there is <topping>pepperoni</topping> on that?"
CONFIRM	"Oh, WOW. Yes, please"
REQUEST	Do you have <topping>salami</topping> as well?
UNDEFINED	Oof. Let me think here.
ADD_TO_ORDER	"Ok, not a big <topping_type>veggie</topping_type> guy, but that could be good. Let’s give it a shot."
ADD_MODALITY	Cool. I can come get it. Do you know when that will be ready?
THANK	Perfect! Thank you so much. See you then
GREET	"Hey there, is this Pizza?"
ADD_PERSONAL	"Yes, my name - this is <name>Person</name>"
REQUEST	Oh - <pizza_type>Veggie supreme</pizza_type> - what’s in that?
MAKE_PIZZA	That sounds interesting! But I think I’ll stick with <pizza_type>Cheese</pizza_type> today.
REQUEST	<size>12”</size> - is that the <size>medium</size> size?
ADD_ATTRIBUTE	"Hm, ok - the <size>large</size> sounds great. Do you have <crust>cheese filled</crust> crust?"
UNDEFINED	Darn!
ADD_ATTRIBUTE	I’ll go with the <crust>deep dish</crust> then.
END_ORDERING	"Perfect, I can’t wait. That’ll be all!"
ADD_MODALITY	"<modality>Delivery</modality>, please!"
ADD_PERSONAL	"Yup, it’s <address>12345 St</address>"
THANK	Wonderful. Thanks.
REQUEST_LISTING	Hi! Do you have any soda?
ADD_TO_ORDER	"Ack! <quant>No</quant> <beverage>Pepsi</beverage>? Well <beverage>Coke</beverage> is fine, I’ll have <quant>2</quant> liters"
END_ORDERING	<quant>No</quant> pizza today
ADD_PERSONAL	Right - it's <name>Person Person</name>
ADD_PERSONAL	My number is <number>123456789</number>
ADD_MODALITY	"I’ll come get it, thanks."
THANK	Perfect. Thank you!
GREET	Hello?
MAKE_PIZZA	"Hi! I’d like to place an order for <quant>2</quant> <size>small</size> pizzas - one is a <crust>regular</crust> <pizza_type>vegan</pizza_type>, and the other is a <crust>deep dish</crust> <pizza_type>veggie surpreme</pizza_type>."
ADD_TO_ORDER	"Also, i’ll add a liter of <beverage>orange soda</beverage>"
CONFIRM	That’s correct.
ADD_MODALITY	<modality>Take out</modality>.
ADD_PERSONAL	<name>Mr Man</name>
THANK	Perfect. Thanks so much.
INFORM	I’ll be there in <time>25 min</time>
ADD_MODALITY	Hi there! I’d like to place an order for <modality>delivery</modality>
REQUEST	"Just confirming, this is <store>Pizza Pizza on 23456 Ave</store>?"
ADD_PERSONAL	Great. The address will be <address>76543 Blvd</address>
MAKE_PIZZA	Can I please get <quant>one</quant> <size>large</size> <pizza_type>Hawaiian</pizza_type> Pizza with <quant>extra</quant> <topping>sausage</topping>?
REQUEST_LISTING	Hm - what kinds of crusts are available?
ADD_ATTRIBUTE	"Hm … <crust>deep dish</crust> or <crust>regular</crust> … I’ll go with the <crust>regular</crust>. Also, do you have any <side>salads</side>?"
ADD_TO_ORDER	That’s correct. Let me get <quant>one</quant> <side>Caesar salad<side> aswell
END_ORDERING	That’s it for me. How mush is <modality>delivery</modality>?
ADD_PAYMENT_ATTRIBUTE	I have <payment_type>cash</payment_type>!
THANK	Sounds great. Thank you for your kind service!
ADD_MODALITY	Hi! Can I place an order for <modality>delivery</modality>?
MAKE_PIZZA	Gotcha. Can I get a <size>large</size> <pizza_type>cheese</pizza_type> pizza with <topping>green peppers</topping>?
ADD_ATTRIBUTE	<crust>Thin</crust> please!
CONFIRM	"That would be perfect, thanks!"
REQUEST_COST_OF	"Oh, sure - how much is that?"
UPDATE_ATTRIBUTE	Okay sounds good. Can I actually get a <size>small</size>?
UPDATE	Sorry - actually just the <size>small</size> pizza and <side>breadsticks</side> please.
ADD_PERSONAL	<address>12345 St Seattle WA</address>
THANK	"Perfect, thank you!"
GREET	Hello?
REQUEST	Hi…is this Pizza Restaurant?
START_ORDERING	Great - yes I would like to place a pizza order
MAKE_PIZZA	Can I please get <quant>one</quant> <quant>three</quant> <pizza_type>4 Cheese</pizza_type> pizzas for <modality>pickup</modality>
ADD_ATTRIBUTE	"Oh actually just the <quant>three</quant> separate <pizza_type>4 Cheese</pizza_type> pizzas. Can I get <quant>1</quant> <size>large</size>, <quant>1</quant> <size>medium</size>, <quant>1</quant> <size>small</size>?"
UPDATE_ATTRIBUTE	"Sorry, but I’d like to stick to the original order. So that’s <quant>1</quant> <size>small</size> <pizza_type>Cheese</pizza_type> pizza, <quant>1</quant> <size>medium</size> <pizza_type>Cheese</pizza_type> pizza, and <quant>1</quant> <size>large</size> <pizza_type>Cheese</pizza_type> pizza."
ADD_TO_ORDER	I’d like <quant>3</quant> <beverage>orange sodas</beverage>
THANK	"Great, thank you so much. I’ll get my card, just a second!"
REQUEST	"Alright, are you ready?"
ADD_PAYMENT_ATTRIBUTE	It’s <numeric>1234567890987654</numeric>
ADD_PERSONAL	<name>Walter</name>
UPDATE_PERSONAL	<name>Walter E Smithe</name>
REQUEST	I think I do…but could you give it to me again?
THANK	"Oh right! Alright, that sounds great"
THANK	Thanks!
ADD_PERSONAL	Name’s <name>Chris</name>. Give me <quant>2</quant> <side>breadsticks</side> to go
ADD_TO_ORDER	<quant>1</quant> root beer too
ADD_MODALITY	<modality>Pick up</modality>
CONFIRM	Boom. That’s it for me man.
DEPART	I’ll be there. Peace.
GREET	"Hi! That sounds great, but I’m actually vegetarian! haha"
REQUEST	I love salad! What’s your favorite?
ADD_TO_ORDER	"Oh - CLASSIC. Alright, I’ll have <quant>one</quant> of those!"
UNDEFINED	Only 9$! That’s a steal. I can’t believe I don’t order here more often!
REQUEST	Is there anything else you’d recommend?
MAKE_PIZZA	Wow - this is going to be the best dinner I’ve had in months. I’ll take a <size>large</size>. What’s your name again?
ADD_MODALITY	"Oh, you have <modality>delivery</modality> now? Wonderful! <modality>Delivery</modality>!"
THANK	Thanks <name>John</name>!!
UNDEFINED	That’s the best price I’ve seen in years. <name>John</name> I gotta tell you they don’t make pizza places like this anymore.
ADD_PERSONAL	My address is <address>54321 St</address>
THANK	"Oh, I can’t wait for this meal. Thanks a million <name>John</name>"
CONFIRM	"Oh, yeah, I think that’s right…um"
CONFIRM	You know what that sounds great
UNDEFINED	"Yeah! And I don’t know if you’ve been watching the Netflix lately, but they got some great cooking shows on there…there’s that <name>Ramsey</name> guy..."
UNDEFINED	Ah!
DEPART	I gotta go
DEPART	See ya round!
MAKE_PIZZA	Hi! Can I please get <quant>one</quant> <pizza_type>regular</pizza_type> pizza with <toppping>ham</toppping>?
REQUEST	Do you have the <crust>gluten free</crust> crust?
ADD_ATTRIBUTE	"6$, got it. That should be fine."
REQUEST	Hm. How long will it to prepare the pizza?
ADD_MODALITY	Got it - that should be enough time for me to swing by for <modality>Pick up</modality>!
END_ORDERING	Perfect. That’ll be all.
MAKE_PIZZA	Hello I need <quant>to</quant> <size>large</size> <pizza_type>cheese</pizza_type> pizzas <quant>two</quant> <beverage>cokes</beverage> with I need you to get off of that furnace right now do you hear me I swear to god I’m sorry
UNDEFINED	Do as your are told I’m so sorry
UNDEFINED	So I need
UNDEFINED	Can you shut up for <quant>one</quant> minute?
MAKE_PIZZA	Sorry I will need <quant>two</quant> <size>large</size> <pizza_type>cheese</pizza_type> pizzas and <quant>two</quant> <beverage>cokes</beverage> <modality>delivered</modality> to <address>12345 St</address>.
UNDEFINED	Because you won’t get pizza if you keep acting this way is why
REQUEST	Did you get that?
GREET	Hello?
ADD_MODALITY	yes <modality>delivered</modality> to ugh i swear you to <address>12345 St</address> that’s all
REQUEST	"Did you get that?  <quant>Two</quant> pizzas, <quant>two</quant> <beverage>cokes</beverage>"
CONFIRM	That’s it
UNDEFINED	"Hey get me my pocket book will you, the red one no the red one yes that one"
ADD_PAYMENT_ATTRIBUTE	Okay yes it is <numeric>1234 1234 1234</numeric> stop that <numeric>1234</numeric>
CONFIRM	Yes shush for <quant>one</quant> second
ADD_PAYMENT_ATTRIBUTE	<numeric>1234 1234 1234 1234</numeric>
REQUEST	You get that that time?
REQUEST	Yeah <numeric>1234</numeric> that’s right when are you coming?
UNDEFINED	No the dog doesn’t want to eat that missy
DEPART	Okay thank you bye
ADD_MODALITY	hello I need to place a <modality>takeout</modality> order
ADD_PERSONAL	It’s for <name>John</name>
MAKE_PIZZA	I’m going to need a selection of <quant>5</quant> <size>large</size> pizzas for our party.
REQUEST	Can you recommend a crowd pleasing variety?
GREET	Hello?
CONFIRM	Sure that’s fine
UNDEFINED	……
MAKE_PIZZA	"Hi yes, I need <quant>five</quant> assorted <size>large</size> pizzas."
ADD_MODALITY	The first options you listed sound fine.  And can you vary the crusts as well?  We’ll need to <modality>pick up</modality> at <time>2pm</time>.
CONFIRM	that sounds great
THANK	thank you so much
DENY	nope that’ll be all
ADD_MODALITY	"Hi! Yes, I’d like to place an order for <modality>delivery</modality>"
MAKE_PIZZA	Hi - I’d like to place a <modality>delivery</modality> order. Can I just get <quant>one</quant> <size>small</size> <pizza_type>meat lovers</pizza_type> with <crust>gluten free</crust> crust?
DENY	Erm - no - just the pizza. I’d like <quant>one</quant> <size>small</size> <crust>gluten free</crust> <pizza_type>meat lovers</pizza_type>.
UPDATE_ATTRIBUTE	<size>SMALL</size>. <crust>GLUTEN FREE</crust>. <pizza_type>MEAT LOVERS PIZZA</pizza_type>.
REQUEST	Did you get that?
CONFIRM	"Yes, yes. Sorry for the confusion, my phone’s been acting up. That was for <modality>delivery</modality>."
ADD_MODALITY	<modality>DELIVERY</modality>.
ADD_PERSONAL	Address is <address>17484 Ave</address>
UPDATE_PERSONAL	Um no - the address is <address>1 7 4 8 4 Ave</address>
REQUEST	Did you get that?
CONFIRM	"Yes, that’s it. That’ll be all."
THANK	"Great, thank you."
ADD_MODALITY	Hi! Can I please place an order for <modality>pick up</modality>?
ADD_PERSONAL	The name is <name>Mr Man</name>
UNDEFINED	I… just a second…
UNDEFINED	Oh….oh my gosh.
UNDEFINED	"Um, yeah, yeah of course."
UNDEFINED	No it’s just the pizza order.
UNDEFINED	"Yeah, I’ll be right over."
UNDEFINED	"Oh, hi there, I…sorry. Something came up."
DEPART	I’ll have to call you back later for the pizza
UNDEFINED	"Yes, everything’s fine, it’s just my father hasn’t been well lately."
THANK	"Got it, thank you so much"
DEPART	I have to go now.
THANK	"Thank you, thank you. Talk to you soon."
MAKE_PIZZA	Hey um can I get a <size>large</size> pizza, no <topping>cheese</topping>, <topping>diced tomatoes</topping>, and <topping>spinach</topping>?
DENY	Oh um. no
REQUEST_LISTING	Yeah, yeah, um can I get a...d-do you have the <beverage>2-liter bottles</beverage>?
ADD_TO_ORDER	Okay okay um...let me do a <size>medium</size> <beverage>coke</beverage>
UPDATE_ATTRIBUTE	<topping>Spinach</topping>
UPDATE_ATTRIBUTE	You know what if you have <topping>kale</topping> we can do both
CONFIRM	Amazing, perfect
ADD_PAYMENT_ATTRIBUTE	Perfect, let me give you my card...um that.s gonna be -- the number is um <numeric>1024</numeric>
ADD_PAYMENT_ATTRIBUTE	Um and the code is <numeric>782</numeric>…the expiration is <numeric>12/89</numeric>
ADD_PERSONAL	<name>John Doe</name>
THANK	That is it, thank you
UNDEFINED	Oh, um
ADD_MODALITY	I.ll come in for <modality>pickup</modality>
THANK	Okay great, thank you
START_ORDERING	Hi I would- want to order a pizza, uh actually <quant>three</quant> pizzas, ummm
REQUEST_LISTING	I think I want, uh, how- what size pizza should I get if I wanna get <quant>three</quant> pizzas for like, ten people? What do you think?
REQUEST_LISTING	<quant>Three</quant> <size>larges</size>?
UNDEFINED	Um, we.re pretty hungry.so. I don.t know.
MAKE_PIZZA	Ummmm hang on let me ask. Okay I think . we want <topping>cheese</topping>, a <pizza_type>cheese</pizza_type> pizza, and a uh half <pizza_type>pepperoni</pizza_type> half <topping>mushroom</topping>?
UPDATE_ATTRIBUTE	Sorry half <pizza_type>pepperoni</pizza_type> half <topping>sausage</topping>
MAKE_PIZZA	Yeah for the second pizza and then. uh a <topping>mushroom</topping> and uh <topping>spinach</topping>? And <topping>feta</topping>? Do you have that?
ADD_ATTRIBUTE	And <topping>spinach</topping>
CONFIRM	Awesome
UNDEFINED	Um
REQUEST_LISTING	So for the <pizza_type>cheese</pizza_type> pizza, um, can you do extra cheese like a lot of extra cheese?
ADD_ATTRIBUTE	<pizza_type>Four cheese</pizza_type>, <pizza_type>four cheese</pizza_type>
CONFIRM	Yeah
REQUEST_LISTING	Do you guys also have, um <side>brownies</side>? They.re asking for <side>brownies</side>.
ADD_ATTRIBUTE	Ummm might as well go <size>large</size>
ADD_TO_ORDER	Can I get uh, <beverage>Dr. Pepper.</beverage> and. a <beverage>Sprite</beverage>
REQUEST_LISTING	The two-liter bottles? Do you have them?
REQUEST	Do you give, um, cups and napkins, too?
INFORM	Okay, think we.re gonna need . ten should be good if you have like a set of ten
INFORM	And then a bunch of napkins
REQUEST	and do you also have those little packets with the uh <side>Italian herb</side>
THANK	Okay thank you. Alright, um, think that.s it
INFORM	Uh, also cups and napkins
ADD_PAYMENT_ATTRIBUTE	Yes. So, card number is <numeric>zero zero zero two</numeric>,
ADD_PAYMENT_ATTRIBUTE	And then expiration date is <numeric>zero one one three</numeric>
ADD_PERSONAL	And the name for it is. <name>Melanie</name>
UNDEFINED	Oh, billing zip code.
CONFIRM	Yeah
CONFIRM	Yes yeah that.s right
REQUEST	Do you know how long that should take?
CONFIRM	Oh cool okay
ADD_PERSONAL	Um, it.s <email>m e l a n i e e e at email dot com</email>.
CONFIRM	Yep
THANK	Ok awesome thank you
MAKE_PIZZA	Hi, do you--can I--can I get a <size>small</size> pizza, just <topping>cheese</topping>. And is your sauce like a flavorful--do you have like a spicy sauce and a super plain sauce like just tomato
UPDATE_ATTRIBUTE	Ok, um, if you could just um...let.s do that <pizza_type>cheese</pizza_type> but if you put on any other herbs or spices, like if there.s like a <topping>parsley</topping> sprinkle or anything, I need you to leave it off -- just as plain as possible
THANK	Great, thank you
REQUEST_LISTING	[aside] Hey, do you want...do you wanna get a <beverage>lemonade</beverage>, do you want <beverage>milk</beverage> -- [phone] Do you have <beverage>milk</beverage>?
ADD_TO_ORDER	[aside] Ok...ok...no you can.t have, no [phone] Let.s do--let.s do a <size>small</size> <beverage>lemonade</beverage>
CONFIRM	Yes
MAKE_PIZZA	No um can I - can I also get, um, a <size>medium</size> <pizza_type>hawaiian</pizza_type> pizza?
UNDEFINED	Oh
CONFIRM	Ok, um...oh god, ok
CONFIRM	Sure, sure let.s do that
CONFIRM	Perfect. Perfect, let.s do it
DENY	I think that.s it, alright, yeah
ADD_MODALITY	<modality>Delivery</modality>
ADD_PERSONAL	Yeah um it.s <address>321 6th avenue northeast, um, Seattle, Washington, 00000</address>
CONFIRM	Yes
CONFIRM	Yes
CONFIRM	Absolutely
ADD_PAYMENT_ATTRIBUTE	Yeah, hang on . Ok, so number is <numeric>5600</numeric>. Um, expiration date <numeric>00/12</numeric>, um and the code on that is <numeric>123</numeric>
ADD_PERSONAL	Yeah, um, it.s uh, <name>Jonathan Ives</name>
UNDEFINED	Just get the pizza to me quickly, that.s all I ask of you
CONFIRM	Great. Okay, great.
DEPART	You too
REQUEST_LISTING	Hi I just wanted to know what sides you have
REQUEST_LISTING	Oh no, sorry, I want, um, sides, like not of pizza, I wanna know what sides
REQUEST	Uh so the <side>bread sticks</side> are they soft
REQUEST_LISTING	Do you have any <side>pasta</side>
REQUEST_LISTING	Uh are you sure that you don.t have <side>pasta</side> cause I.m pretty sure that I.ve called a Domino.s before and they had <side>pasta</side>.
ADD_TO_ORDER	Okay. Well I.ll just get the <side>garlic bread</side> I.ll get two orders of that.
ADD_MODALITY	And I.ll get that for <modality>pickup</modality>.
REQUEST	Uh, is this the location at <address>123 Sunset</address>?
ADD_PAYMENT_ATTRIBUTE	Wanted to make sure. Two orders of <side>garlic bread</side>, um, my card information is, uh <numeric>1234</numeric>
ADD_PERSONAL	Uh my name is <name>Johnson</name>
ADD_PAYMENT_ATTRIBUTE	And um uh my security code for that is <numeric>000</numeric> and the expiration is <numeric>12/12</numeric>.
ADD_PAYMENT_ATTRIBUTE	That.s gonna be <numeric>11234</numeric>.
CONFIRM	Yeah.
REQUEST	Oh how long . um how long should it be before the <side>garlic bread</side> . do you have that ready .
CONFIRM	Okay. Order should be there in <time>ten minutes</time> I think, yeah.
DEPART	Okay. Uh, alright bye.
MAKE_PIZZA	Hi! Can I get a <size>large</size> <pizza_type>cheese</pizza_type> pizza, <size>large</size> <pizza_type>pepperoni</pizza_type> pizza, and <size>extra large</size> <pizza_type>supreme</pizza_type> pizza with <quant>no</quant> <topping>peppers</topping> on it
UPDATE_ATTRIBUTE	<size>Extra large</size> <pizza_type>supreme</pizza_type> pizza, <quant>no</quant> <topping>peppers</topping>
ADD_MODALITY	Yes, and, uh we.ll get that for <modality>delivery</modality>, um, to <address>84 48th street suite 12</address>.
INFORM	Yes and you.re gonna go up the stairs and down the left hallway and we.re the first on the right
DENY	No thank you
ADD_PAYMENT_ATTRIBUTE	Yes, the number is <numeric>670</numeric>, the expiration date <numeric>12/12</numeric>, card security code is <numeric>567</numeric>, zip code on that is <numeric>19283</numeric>, and the name on that is <name>Jennifer</name>
CONFIRM	Mhm
CONFIRM	You bet!
CONFIRM	Okay
CONFIRM	Perfect
CONFIRM	You too
INFORM	Hi so I have a <topping_type>milk</topping_type> allergy, um
REQUEST_LISTING	Do you have pizza, uh, is your crust made with <topping>milk</topping> .cause I can.t have it cooked into anything either
CONFIRM	Okay
CONFIRM	I guess I-- I guess that.s fine
INFORM	Yeah, well, I, it.s not a severe <topping>milk</topping> allergy
CONFIRM	Um, yeah
REQUEST_LISTING	If you can have a <topping_type>milkless</topping_type> crust?
REQUEST_LISTING	Alright. And then, um, what about <pizza_type>cheese</pizza_type> options
